Epoch 142: Reached 5000 samples, ending early with 5021 samples.
Epoch 142, Mean Reward: 298.54
Epoch 143: Reached 5000 samples, ending early with 5070 samples.
Epoch 143, Mean Reward: 273.32
Epoch 144: Reached 5000 samples, ending early with 5050 samples.
Epoch 144, Mean Reward: 297.57
Epoch 145: Reached 5000 samples, ending early with 5003 samples.
Epoch 145, Mean Reward: 289.77
Epoch 146: Reached 5000 samples, ending early with 5090 samples.
Epoch 146, Mean Reward: 299.34
Epoch 147: Reached 5000 samples, ending early with 5065 samples.
Epoch 147, Mean Reward: 290.29
Epoch 148: Reached 5000 samples, ending early with 5053 samples.
Epoch 148, Mean Reward: 297.87
Epoch 149: Reached 5000 samples, ending early with 5030 samples.
Epoch 149, Mean Reward: 297.29
Epoch 150: Reached 5000 samples, ending early with 5000 samples.
Epoch 150, Mean Reward: 285.56
Epoch 151: Reached 5000 samples, ending early with 5028 samples.
Epoch 151, Mean Reward: 309.22
Epoch 152: Reached 5000 samples, ending early with 5062 samples.
Epoch 152, Mean Reward: 290.15
Epoch 153: Reached 5000 samples, ending early with 5049 samples.
Epoch 153, Mean Reward: 318.61
Epoch 154: Reached 5000 samples, ending early with 5022 samples.
Eval at 702307 samples: 310.74
Epoch 154, Mean Reward: 293.04
Epoch 155: Reached 5000 samples, ending early with 5033 samples.
Epoch 155, Mean Reward: 299.51
Epoch 156: Reached 5000 samples, ending early with 5040 samples.
Epoch 156, Mean Reward: 290.77
Epoch 157: Reached 5000 samples, ending early with 5050 samples.
Epoch 157, Mean Reward: 294.97
Epoch 158: Reached 5000 samples, ending early with 5063 samples.
Epoch 158, Mean Reward: 281.34
Epoch 159: Reached 5000 samples, ending early with 5051 samples.
Epoch 159, Mean Reward: 290.41
Epoch 160: Reached 5000 samples, ending early with 5084 samples.
Epoch 160, Mean Reward: 291.36
Epoch 161: Reached 5000 samples, ending early with 5000 samples.
Epoch 161, Mean Reward: 299.26
Epoch 162: Reached 5000 samples, ending early with 5031 samples.
Epoch 162, Mean Reward: 270.43
Epoch 163: Reached 5000 samples, ending early with 5016 samples.
Epoch 163, Mean Reward: 302.87
Epoch 164: Reached 5000 samples, ending early with 5050 samples.
Epoch 164, Mean Reward: 297.80
Epoch 165: Reached 5000 samples, ending early with 5054 samples.
Epoch 165, Mean Reward: 294.95
Epoch 166: Reached 5000 samples, ending early with 5049 samples.
Epoch 166, Mean Reward: 299.22
Epoch 167: Reached 5000 samples, ending early with 5083 samples.
Epoch 167, Mean Reward: 276.36
Epoch 168: Reached 5000 samples, ending early with 5037 samples.
Epoch 168, Mean Reward: 286.69
Epoch 169: Reached 5000 samples, ending early with 5028 samples.
Epoch 169, Mean Reward: 301.65
Epoch 170: Reached 5000 samples, ending early with 5041 samples.
Epoch 170, Mean Reward: 304.77
Epoch 171: Reached 5000 samples, ending early with 5004 samples.
Epoch 171, Mean Reward: 295.24
Epoch 172: Reached 5000 samples, ending early with 5073 samples.
Epoch 172, Mean Reward: 299.06
Epoch 173: Reached 5000 samples, ending early with 5036 samples.
Epoch 173, Mean Reward: 301.27
Epoch 174: Reached 5000 samples, ending early with 5019 samples.
Eval at 803149 samples: 283.89
Epoch 174, Mean Reward: 290.69
Epoch 175: Reached 5000 samples, ending early with 5031 samples.
Epoch 175, Mean Reward: 296.66
Epoch 176: Reached 5000 samples, ending early with 5048 samples.
Epoch 176, Mean Reward: 296.04
Epoch 177: Reached 5000 samples, ending early with 5027 samples.
Epoch 177, Mean Reward: 306.20
Epoch 178: Reached 5000 samples, ending early with 5027 samples.
Epoch 178, Mean Reward: 291.08
Epoch 179: Reached 5000 samples, ending early with 5046 samples.
Epoch 179, Mean Reward: 305.07
Epoch 180: Reached 5000 samples, ending early with 5000 samples.
Epoch 180, Mean Reward: 303.59
Epoch 181: Reached 5000 samples, ending early with 5044 samples.
Epoch 181, Mean Reward: 315.54
Epoch 182: Reached 5000 samples, ending early with 5045 samples.
Epoch 182, Mean Reward: 302.20
Epoch 183: Reached 5000 samples, ending early with 5008 samples.
Epoch 183, Mean Reward: 300.60
Epoch 184: Reached 5000 samples, ending early with 5044 samples.
Epoch 184, Mean Reward: 299.03
Epoch 185: Reached 5000 samples, ending early with 5055 samples.
Epoch 185, Mean Reward: 316.67
Epoch 186: Reached 5000 samples, ending early with 5019 samples.
Epoch 186, Mean Reward: 311.41
Epoch 187: Reached 5000 samples, ending early with 5027 samples.
Epoch 187, Mean Reward: 307.16
Epoch 188: Reached 5000 samples, ending early with 5050 samples.
Epoch 188, Mean Reward: 307.33
Epoch 189: Reached 5000 samples, ending early with 5037 samples.
Epoch 189, Mean Reward: 310.18
Epoch 190: Reached 5000 samples, ending early with 5086 samples.
Epoch 190, Mean Reward: 303.05
Epoch 191: Reached 5000 samples, ending early with 5049 samples.
Epoch 191, Mean Reward: 299.76
Epoch 192: Reached 5000 samples, ending early with 5041 samples.
Epoch 192, Mean Reward: 294.37
Epoch 193: Reached 5000 samples, ending early with 5016 samples.
Epoch 193, Mean Reward: 299.16
Epoch 194: Reached 5000 samples, ending early with 5049 samples.
Eval at 903898 samples: 261.74
Epoch 194, Mean Reward: 313.26
Epoch 195: Reached 5000 samples, ending early with 5030 samples.
Epoch 195, Mean Reward: 301.52
Epoch 196: Reached 5000 samples, ending early with 5006 samples.
Epoch 196, Mean Reward: 309.18
Epoch 197: Reached 5000 samples, ending early with 5051 samples.
Epoch 197, Mean Reward: 323.66
Epoch 198: Reached 5000 samples, ending early with 5005 samples.
Epoch 198, Mean Reward: 289.06
Epoch 199: Reached 5000 samples, ending early with 5086 samples.
Epoch 199, Mean Reward: 302.70
Epoch 200: Reached 5000 samples, ending early with 5013 samples.
Epoch 200, Mean Reward: 305.15
Epoch 201: Reached 5000 samples, ending early with 5041 samples.
Epoch 201, Mean Reward: 307.91
Epoch 202: Reached 5000 samples, ending early with 5057 samples.
Epoch 202, Mean Reward: 324.63
Epoch 203: Reached 5000 samples, ending early with 5038 samples.
Epoch 203, Mean Reward: 316.73
Epoch 204: Reached 5000 samples, ending early with 5010 samples.
Epoch 204, Mean Reward: 310.02
Epoch 205: Reached 5000 samples, ending early with 5001 samples.
Epoch 205, Mean Reward: 326.90
Epoch 206: Reached 5000 samples, ending early with 5066 samples.
Epoch 206, Mean Reward: 307.38
Epoch 207: Reached 5000 samples, ending early with 5026 samples.
Epoch 207, Mean Reward: 304.33
Epoch 208: Reached 5000 samples, ending early with 5015 samples.
Epoch 208, Mean Reward: 294.95
Epoch 209: Reached 5000 samples, ending early with 5020 samples.
Epoch 209, Mean Reward: 299.99
Epoch 210: Reached 5000 samples, ending early with 5024 samples.
Epoch 210, Mean Reward: 303.26
Epoch 211: Reached 5000 samples, ending early with 5023 samples.
Epoch 211, Mean Reward: 298.46
Epoch 212: Reached 5000 samples, ending early with 5024 samples.
Epoch 212, Mean Reward: 305.95
Epoch 213: Reached 5000 samples, ending early with 5029 samples.
Epoch 213, Mean Reward: 316.56
Epoch 214: Reached 5000 samples, ending early with 5042 samples.
Eval at 1004505 samples: 313.92
Epoch 214, Mean Reward: 299.21
Epoch 215: Reached 5000 samples, ending early with 5053 samples.
Epoch 215, Mean Reward: 304.22
Epoch 216: Reached 5000 samples, ending early with 5008 samples.
Epoch 216, Mean Reward: 308.17
Epoch 217: Reached 5000 samples, ending early with 5006 samples.
Epoch 217, Mean Reward: 332.38
Epoch 218: Reached 5000 samples, ending early with 5046 samples.
Epoch 218, Mean Reward: 310.70
Epoch 219: Reached 5000 samples, ending early with 5009 samples.
Epoch 219, Mean Reward: 303.42
Epoch 220: Reached 5000 samples, ending early with 5062 samples.
Epoch 220, Mean Reward: 292.26
Epoch 221: Reached 5000 samples, ending early with 5015 samples.
Epoch 221, Mean Reward: 312.55
Epoch 222: Reached 5000 samples, ending early with 5055 samples.
Epoch 222, Mean Reward: 309.07
Epoch 223: Reached 5000 samples, ending early with 5051 samples.
Epoch 223, Mean Reward: 324.19
Epoch 224: Reached 5000 samples, ending early with 5033 samples.
Epoch 224, Mean Reward: 329.20
Epoch 225: Reached 5000 samples, ending early with 5000 samples.
Epoch 225, Mean Reward: 304.23
Epoch 226: Reached 5000 samples, ending early with 5003 samples.
Epoch 226, Mean Reward: 307.11
Epoch 227: Reached 5000 samples, ending early with 5030 samples.
Epoch 227, Mean Reward: 301.39
Epoch 228: Reached 5000 samples, ending early with 5011 samples.
Epoch 228, Mean Reward: 308.18
Epoch 229: Reached 5000 samples, ending early with 5040 samples.
Epoch 229, Mean Reward: 309.53
Epoch 230: Reached 5000 samples, ending early with 5045 samples.
Epoch 230, Mean Reward: 308.29
Epoch 231: Reached 5000 samples, ending early with 5034 samples.
Epoch 231, Mean Reward: 314.66
Epoch 232: Reached 5000 samples, ending early with 5059 samples.
Epoch 232, Mean Reward: 302.12
Epoch 233: Reached 5000 samples, ending early with 5063 samples.
Eval at 1100128 samples: 322.01
Epoch 233, Mean Reward: 309.04
Epoch 234: Reached 5000 samples, ending early with 5044 samples.
Epoch 234, Mean Reward: 307.97
Epoch 235: Reached 5000 samples, ending early with 5072 samples.
Epoch 235, Mean Reward: 332.41
Epoch 236: Reached 5000 samples, ending early with 5034 samples.
Epoch 236, Mean Reward: 309.90
Epoch 237: Reached 5000 samples, ending early with 5021 samples.
Epoch 237, Mean Reward: 308.23
Epoch 238: Reached 5000 samples, ending early with 5031 samples.
Epoch 238, Mean Reward: 320.02
Epoch 239: Reached 5000 samples, ending early with 5028 samples.
Epoch 239, Mean Reward: 307.88
Epoch 240: Reached 5000 samples, ending early with 5055 samples.
Epoch 240, Mean Reward: 337.00
Epoch 241: Reached 5000 samples, ending early with 5046 samples.
Epoch 241, Mean Reward: 288.30
Epoch 242: Reached 5000 samples, ending early with 5040 samples.
Epoch 242, Mean Reward: 315.52
Epoch 243: Reached 5000 samples, ending early with 5044 samples.
Epoch 243, Mean Reward: 301.91
Epoch 244: Reached 5000 samples, ending early with 5019 samples.
Epoch 244, Mean Reward: 321.28
Epoch 245: Reached 5000 samples, ending early with 5069 samples.
Epoch 245, Mean Reward: 302.92
Epoch 246: Reached 5000 samples, ending early with 5036 samples.
Epoch 246, Mean Reward: 307.44
Epoch 247: Reached 5000 samples, ending early with 5039 samples.
Epoch 247, Mean Reward: 326.51
Epoch 248: Reached 5000 samples, ending early with 5080 samples.
Epoch 248, Mean Reward: 309.68
Epoch 249: Reached 5000 samples, ending early with 5065 samples.
Epoch 249, Mean Reward: 332.14
Epoch 250: Reached 5000 samples, ending early with 5053 samples.
Epoch 250, Mean Reward: 335.83
Epoch 251: Reached 5000 samples, ending early with 5029 samples.
Epoch 251, Mean Reward: 322.22
Epoch 252: Reached 5000 samples, ending early with 5029 samples.
Epoch 252, Mean Reward: 322.79
Epoch 253: Reached 5000 samples, ending early with 5060 samples.
Eval at 1201022 samples: 326.45
Epoch 253, Mean Reward: 312.28
Epoch 254: Reached 5000 samples, ending early with 5074 samples.
Epoch 254, Mean Reward: 320.17
Epoch 255: Reached 5000 samples, ending early with 5014 samples.
Epoch 255, Mean Reward: 320.68
Epoch 256: Reached 5000 samples, ending early with 5016 samples.
Epoch 256, Mean Reward: 319.55
Epoch 257: Reached 5000 samples, ending early with 5046 samples.
Epoch 257, Mean Reward: 312.93
Epoch 258: Reached 5000 samples, ending early with 5015 samples.
Epoch 258, Mean Reward: 312.71
Epoch 259: Reached 5000 samples, ending early with 5069 samples.
Epoch 259, Mean Reward: 317.44
Epoch 260: Reached 5000 samples, ending early with 5014 samples.
Epoch 260, Mean Reward: 307.93
Epoch 261: Reached 5000 samples, ending early with 5124 samples.
Epoch 261, Mean Reward: 346.33
Epoch 262: Reached 5000 samples, ending early with 5009 samples.
Epoch 262, Mean Reward: 295.84
Epoch 263: Reached 5000 samples, ending early with 5036 samples.
Epoch 263, Mean Reward: 342.93
Epoch 264: Reached 5000 samples, ending early with 5059 samples.
Epoch 264, Mean Reward: 307.49
Epoch 265: Reached 5000 samples, ending early with 5037 samples.
Epoch 265, Mean Reward: 325.32
Epoch 266: Reached 5000 samples, ending early with 5033 samples.
Epoch 266, Mean Reward: 322.52
Epoch 267: Reached 5000 samples, ending early with 5045 samples.
Epoch 267, Mean Reward: 326.61
Epoch 268: Reached 5000 samples, ending early with 5010 samples.
Epoch 268, Mean Reward: 298.77
Epoch 269: Reached 5000 samples, ending early with 5041 samples.
Epoch 269, Mean Reward: 316.29
Epoch 270: Reached 5000 samples, ending early with 5053 samples.
Epoch 270, Mean Reward: 315.10
Epoch 271: Reached 5000 samples, ending early with 5009 samples.
Epoch 271, Mean Reward: 310.07
Epoch 272: Reached 5000 samples, ending early with 5008 samples.
Epoch 272, Mean Reward: 314.33
Epoch 273: Reached 5000 samples, ending early with 5004 samples.
Eval at 1301738 samples: 322.70
Epoch 273, Mean Reward: 317.58
Epoch 274: Reached 5000 samples, ending early with 5159 samples.
Epoch 274, Mean Reward: 326.06
Epoch 275: Reached 5000 samples, ending early with 5039 samples.
Epoch 275, Mean Reward: 319.96
Epoch 276: Reached 5000 samples, ending early with 5090 samples.
Epoch 276, Mean Reward: 316.70
Epoch 277: Reached 5000 samples, ending early with 5057 samples.
Epoch 277, Mean Reward: 316.46
Epoch 278: Reached 5000 samples, ending early with 5129 samples.
Epoch 278, Mean Reward: 310.01
Epoch 279: Reached 5000 samples, ending early with 5057 samples.
Epoch 279, Mean Reward: 310.38
Epoch 280: Reached 5000 samples, ending early with 5011 samples.
Epoch 280, Mean Reward: 307.72
