Steps,Return_1k,Return_10k,Label,Gamma
4402074,2005.7224832273082,10769.935339438667,TRPO_gamma_0.9,0.9
4501235,1820.7070213526217,10532.035272902847,TRPO_gamma_0.9,0.9
4606402,2361.1426135273696,11443.06429904938,TRPO_gamma_0.9,0.9
4705766,2286.322651091875,10945.619186895825,TRPO_gamma_0.9,0.9
4804065,1431.539402187293,10686.209765767282,TRPO_gamma_0.9,0.9
4900462,2279.551882953649,10528.295597026647,TRPO_gamma_0.9,0.9
5006862,2195.2788272910157,10262.808375872719,TRPO_gamma_0.9,0.9
5104570,1804.058300583031,11633.857175774652,TRPO_gamma_0.9,0.9
5201296,2154.6389056716225,10551.118221533125,TRPO_gamma_0.9,0.9
5303418,2056.877217082505,10871.756369777704,TRPO_gamma_0.9,0.9
5407760,2238.2447999963993,11037.305466090827,TRPO_gamma_0.9,0.9
5503437,1577.037373026467,10683.676492881987,TRPO_gamma_0.9,0.9
5607528,2141.4999414755753,11778.263496575717,TRPO_gamma_0.9,0.9
5702625,2744.413574684172,10945.860157183655,TRPO_gamma_0.9,0.9
5800428,2438.126962606321,10687.498725874935,TRPO_gamma_0.9,0.9
5904057,2359.303595980734,11568.053426701861,TRPO_gamma_0.9,0.9
6001048,2839.659627919867,10694.653228429821,TRPO_gamma_0.9,0.9
6108584,2636.125142104099,10871.113984747959,TRPO_gamma_0.9,0.9
6200557,2388.36407372439,10938.235861065094,TRPO_gamma_0.9,0.9
6305532,1607.4018395741093,11171.18647243644,TRPO_gamma_0.9,0.9
6408182,2040.9797333557083,11553.29029502577,TRPO_gamma_0.9,0.9
6507322,2985.5342265661175,10616.680697454165,TRPO_gamma_0.9,0.9
6602491,2479.691523805094,11385.241324064176,TRPO_gamma_0.9,0.9
6707620,2851.7475056229005,11217.75717088555,TRPO_gamma_0.9,0.9
6805510,3058.768779636207,11044.57293785046,TRPO_gamma_0.9,0.9
6904622,2581.52717567039,12995.621168983515,TRPO_gamma_0.9,0.9
7002175,2365.1100501520955,11559.16009445144,TRPO_gamma_0.9,0.9
7105559,3226.929009415965,12190.74512149208,TRPO_gamma_0.9,0.9
7201143,2352.8577145087147,11422.933979761572,TRPO_gamma_0.9,0.9
7306579,3084.546076116193,10977.884997993588,TRPO_gamma_0.9,0.9
7403426,2358.3451307755386,10871.365347277797,TRPO_gamma_0.9,0.9
7503129,1791.7662086263965,12593.079708589883,TRPO_gamma_0.9,0.9
7603461,2601.6488196723985,11002.46158979626,TRPO_gamma_0.9,0.9
7703341,2815.958630272452,12507.893534813225,TRPO_gamma_0.9,0.9
7807436,2275.7468351294765,12167.517701265431,TRPO_gamma_0.9,0.9
7906190,2338.9751264461493,10824.877782506217,TRPO_gamma_0.9,0.9
8002410,2486.3747051434007,11192.037269859102,TRPO_gamma_0.9,0.9
8100162,3161.9418907508375,11893.128859863713,TRPO_gamma_0.9,0.9
8205946,2330.048806214846,12342.540720828758,TRPO_gamma_0.9,0.9
8307137,3352.413310822382,10739.631411984588,TRPO_gamma_0.9,0.9
8403413,2840.7805813429013,12011.187804571773,TRPO_gamma_0.9,0.9
8506600,3282.342856947823,11619.742588175604,TRPO_gamma_0.9,0.9
8603993,2833.365001174413,11593.649308065067,TRPO_gamma_0.9,0.9
8703447,2228.3460029945654,11419.188637632615,TRPO_gamma_0.9,0.9
8801443,3442.9945023678483,13437.301786960312,TRPO_gamma_0.9,0.9
8904482,3314.513510095678,11669.884061269502,TRPO_gamma_0.9,0.9
9000788,3077.6518911366716,11155.752637838359,TRPO_gamma_0.9,0.9
9106671,2955.5586953952475,12449.482427967983,TRPO_gamma_0.9,0.9
9203022,3210.465180334194,10772.947689257502,TRPO_gamma_0.9,0.9
9302521,3386.515490408211,11488.359228198939,TRPO_gamma_0.9,0.9
9400896,2441.929530001675,11684.831191147763,TRPO_gamma_0.9,0.9
9505912,3086.4340387212155,11688.955452616807,TRPO_gamma_0.9,0.9
9605424,3007.8286885749444,11498.614301488622,TRPO_gamma_0.9,0.9
9702417,2739.127122553902,11316.368240826265,TRPO_gamma_0.9,0.9
9806377,2647.7645625368177,13024.287965648426,TRPO_gamma_0.9,0.9
9905683,3559.436105867474,11255.602742489466,TRPO_gamma_0.9,0.9
10006494,2611.749947423862,11482.781056078093,TRPO_gamma_0.9,0.9
101164,995.05088307471,9970.016940446407,TRPO_gamma_0.95,0.95
206960,986.6960327958353,9889.117065741628,TRPO_gamma_0.95,0.95
307724,1006.8478720558603,9851.5852876953,TRPO_gamma_0.95,0.95
406608,989.2202709400375,9819.522361178791,TRPO_gamma_0.95,0.95
502994,1005.765847934675,9987.375792823168,TRPO_gamma_0.95,0.95
600174,1134.3650680973853,9769.167259727172,TRPO_gamma_0.95,0.95
703690,1104.0505071541247,9782.712036644944,TRPO_gamma_0.95,0.95
807924,1196.488431520773,9717.739716474092,TRPO_gamma_0.95,0.95
904749,1281.653264595555,11168.798450722672,TRPO_gamma_0.95,0.95
1001808,1328.9643580565428,11757.45060061289,TRPO_gamma_0.95,0.95
1104185,1645.731799834613,13461.662264999282,TRPO_gamma_0.95,0.95
1200050,1575.4139324146286,12401.566637143844,TRPO_gamma_0.95,0.95
1301589,1984.9459779526933,12796.882296346086,TRPO_gamma_0.95,0.95
1402340,2045.5949618946063,11232.471281036444,TRPO_gamma_0.95,0.95
1504556,1852.0605358992918,11533.137632187541,TRPO_gamma_0.95,0.95
1607612,2260.0513898358836,11882.841054378516,TRPO_gamma_0.95,0.95
1703301,2098.6268620974447,12711.704435937383,TRPO_gamma_0.95,0.95
1802405,1990.5016406237476,12528.958958588377,TRPO_gamma_0.95,0.95
1902800,2056.9939833456724,12508.05515256591,TRPO_gamma_0.95,0.95
2003107,2256.923167236958,11062.669701505907,TRPO_gamma_0.95,0.95
2102719,2060.852329756027,11524.325199594483,TRPO_gamma_0.95,0.95
2207191,2254.8264012346435,11146.103023282125,TRPO_gamma_0.95,0.95
2304669,2089.9668657292636,10328.563127352114,TRPO_gamma_0.95,0.95
2407511,1856.6104535820348,10982.268172564369,TRPO_gamma_0.95,0.95
2500170,2091.74184976403,11508.873171678202,TRPO_gamma_0.95,0.95
2606406,2025.7245804505842,11835.808426989282,TRPO_gamma_0.95,0.95
2704002,2057.2999812195258,10614.48435996264,TRPO_gamma_0.95,0.95
2807556,2543.761206176435,11332.28841452811,TRPO_gamma_0.95,0.95
2906675,2296.5831853578857,10387.78389149057,TRPO_gamma_0.95,0.95
3005307,1573.1731552005272,10291.039688189654,TRPO_gamma_0.95,0.95
3104262,1838.5659165939746,12302.586542875546,TRPO_gamma_0.95,0.95
3201891,2464.665646350438,10538.388547007973,TRPO_gamma_0.95,0.95
3307794,2188.2465144851876,12286.780516401453,TRPO_gamma_0.95,0.95
3404439,2113.914892960357,10441.481422206325,TRPO_gamma_0.95,0.95
3505598,2385.8204882406762,10654.42256647846,TRPO_gamma_0.95,0.95
3600593,2259.8557256742915,10994.217673075244,TRPO_gamma_0.95,0.95
3705507,2356.8863654771135,10940.551286680367,TRPO_gamma_0.95,0.95
3802990,2021.8887229694792,11040.564399387054,TRPO_gamma_0.95,0.95
3906037,2345.1799916359832,11437.787721744691,TRPO_gamma_0.95,0.95
4006640,2857.744423135406,11039.016528715607,TRPO_gamma_0.95,0.95
4104535,2503.1797696974036,13029.199533203875,TRPO_gamma_0.95,0.95
4203470,2566.424783249263,12155.014876624486,TRPO_gamma_0.95,0.95
