Steps,Return_1k,Return_10k,Label,Gamma
6720000,1162.727832246949,1296.94468583966,TRPO_gamma_0.95,0.95
6800000,1526.5104471392965,1141.5016751652465,TRPO_gamma_0.95,0.95
6920000,1472.098093333569,1285.5196440013983,TRPO_gamma_0.95,0.95
7000000,1355.6079653492884,1287.4798775176923,TRPO_gamma_0.95,0.95
7120000,1624.378047735068,1680.835089865105,TRPO_gamma_0.95,0.95
7200000,1458.98542474111,1547.7943702635653,TRPO_gamma_0.95,0.95
7320000,1954.7830292515205,1894.8983373871447,TRPO_gamma_0.95,0.95
7400000,1570.428233114816,2154.5709069465183,TRPO_gamma_0.95,0.95
7520000,1791.8095441611526,1997.4131555483204,TRPO_gamma_0.95,0.95
7600000,1803.0488529349714,1838.365004971838,TRPO_gamma_0.95,0.95
7720000,2530.6682196627344,1611.1048025695895,TRPO_gamma_0.95,0.95
7800000,2126.590063013004,2232.6761700983934,TRPO_gamma_0.95,0.95
7920000,2743.520113950754,1855.2759031784117,TRPO_gamma_0.95,0.95
8000000,2092.2928276400094,2794.5678052599114,TRPO_gamma_0.95,0.95
8120000,2582.99155515224,2910.8999515358787,TRPO_gamma_0.95,0.95
8200000,2893.780200864448,2340.031410886716,TRPO_gamma_0.95,0.95
8320000,3446.366715626436,2399.768800528614,TRPO_gamma_0.95,0.95
8400000,3103.823754608247,2448.3035695821427,TRPO_gamma_0.95,0.95
8520000,2626.1169848026266,2435.7228975834796,TRPO_gamma_0.95,0.95
8600000,4018.8826626557666,2427.6946162121903,TRPO_gamma_0.95,0.95
8720000,2697.0211538434896,2777.412710385295,TRPO_gamma_0.95,0.95
8800000,3843.550538778887,2957.4504141149982,TRPO_gamma_0.95,0.95
8920000,3422.482088220332,2678.602160819381,TRPO_gamma_0.95,0.95
9000000,2877.9803487313634,2453.887559998277,TRPO_gamma_0.95,0.95
9120000,3652.6756649131457,2574.28593360787,TRPO_gamma_0.95,0.95
9200000,4281.614210235965,3824.0632049713445,TRPO_gamma_0.95,0.95
9320000,3046.4079385254636,5054.261011111927,TRPO_gamma_0.95,0.95
9400000,4178.153213217245,3185.805665054367,TRPO_gamma_0.95,0.95
9520000,3888.3654998812863,4110.147243828914,TRPO_gamma_0.95,0.95
9600000,4030.8475806971765,4456.409688820935,TRPO_gamma_0.95,0.95
9720000,3374.7687703609786,4302.560923027023,TRPO_gamma_0.95,0.95
9800000,4285.207415400479,3983.98983857632,TRPO_gamma_0.95,0.95
9920000,3871.436565190686,3779.9577655104176,TRPO_gamma_0.95,0.95
10000000,4405.160621781841,4411.889120830585,TRPO_gamma_0.95,0.95
