Steps,Return_1k,Return_10k,Label,Gamma
7600000,3492.2988886177177,29755.32464896586,TRPO_gamma_0.95,0.95
7704000,3566.7633596742735,29951.100650167115,TRPO_gamma_0.95,0.95
7800000,3534.2110097399477,31719.983096851163,TRPO_gamma_0.95,0.95
7904000,3561.546654075336,29377.07016304629,TRPO_gamma_0.95,0.95
8000000,3595.217860542661,36697.46575512714,TRPO_gamma_0.95,0.95
8104000,3480.406046141207,32446.703438863788,TRPO_gamma_0.95,0.95
8200000,3548.0108592300385,33099.458696753194,TRPO_gamma_0.95,0.95
8304000,3298.1727272966373,33359.087991593544,TRPO_gamma_0.95,0.95
8400000,3566.5547720092036,31944.699503829237,TRPO_gamma_0.95,0.95
8504000,3445.350923663049,32015.447483061107,TRPO_gamma_0.95,0.95
8600000,3616.4462480142197,27624.29193817997,TRPO_gamma_0.95,0.95
8704000,3628.878710098828,34164.84865551407,TRPO_gamma_0.95,0.95
8800000,3588.7201578735417,33945.15198233067,TRPO_gamma_0.95,0.95
8904000,3646.3385978858882,35155.028799462016,TRPO_gamma_0.95,0.95
9000000,3600.441369438012,30876.45069542306,TRPO_gamma_0.95,0.95
9104000,3656.488271090259,32646.080488380867,TRPO_gamma_0.95,0.95
9200000,3462.019357042905,37189.79036704729,TRPO_gamma_0.95,0.95
9304000,3633.3074319044513,36575.23312014898,TRPO_gamma_0.95,0.95
9400000,3696.733969819116,33716.5932421388,TRPO_gamma_0.95,0.95
9504000,3428.6726910462103,37535.00864240168,TRPO_gamma_0.95,0.95
9600000,3459.773535222983,36472.38399305895,TRPO_gamma_0.95,0.95
9704000,3765.838523422745,27163.107798498317,TRPO_gamma_0.95,0.95
9800000,3525.8509377721266,30388.90801289836,TRPO_gamma_0.95,0.95
9904000,3826.728712995145,33383.125084574174,TRPO_gamma_0.95,0.95
10000000,3578.8496169832893,30797.810442508133,TRPO_gamma_0.95,0.95
104000,-0.8395251941125357,110.00980797159829,TRPO_gamma_0.99,0.99
200000,477.16396488420486,3249.521318125269,TRPO_gamma_0.99,0.99
304000,169.9298696034429,3141.5104579948793,TRPO_gamma_0.99,0.99
400000,1107.527848334576,12090.414651222525,TRPO_gamma_0.99,0.99
504000,1274.7215072855045,13741.897718451943,TRPO_gamma_0.99,0.99
600000,1391.0908914570307,14486.207089523286,TRPO_gamma_0.99,0.99
704000,1550.9912235907864,15944.956939349324,TRPO_gamma_0.99,0.99
800000,1612.179998738367,16951.071975696417,TRPO_gamma_0.99,0.99
904000,1748.7523164015333,17906.92331861024,TRPO_gamma_0.99,0.99
1000000,1797.9691190854653,18279.425990419393,TRPO_gamma_0.99,0.99
1104000,1855.6540254394415,18975.57875940149,TRPO_gamma_0.99,0.99
1200000,1958.963933955281,19279.16936246045,TRPO_gamma_0.99,0.99
1304000,1961.8462751881277,19743.78004954219,TRPO_gamma_0.99,0.99
1400000,2064.6339337606405,20749.06195147724,TRPO_gamma_0.99,0.99
1504000,2039.9741709750638,20883.732207973917,TRPO_gamma_0.99,0.99
1600000,2064.0163427261773,21536.41894947056,TRPO_gamma_0.99,0.99
1704000,2187.9358987300775,21848.91238456012,TRPO_gamma_0.99,0.99
1800000,2164.360371503897,22036.031800734476,TRPO_gamma_0.99,0.99
1904000,2237.8555698492764,22632.477701483956,TRPO_gamma_0.99,0.99
2000000,2219.942827231012,23207.140776191452,TRPO_gamma_0.99,0.99
2104000,2292.9699759356713,23295.298482952894,TRPO_gamma_0.99,0.99
2200000,2310.2312791187637,23658.81380383398,TRPO_gamma_0.99,0.99
2304000,2331.7027459457618,23812.03931567853,TRPO_gamma_0.99,0.99
2400000,2362.2894954046783,23931.411849608103,TRPO_gamma_0.99,0.99
2504000,2409.3677701353918,24340.276765947325,TRPO_gamma_0.99,0.99
2600000,2400.695491493766,24799.133889167413,TRPO_gamma_0.99,0.99
2704000,2470.105774900504,25008.998354633448,TRPO_gamma_0.99,0.99
2800000,2442.48744721447,25105.73476468098,TRPO_gamma_0.99,0.99
2904000,2199.388062215237,25033.86087204114,TRPO_gamma_0.99,0.99
3000000,2483.5703783941017,22910.5602879243,TRPO_gamma_0.99,0.99
3104000,2548.516870081361,25326.759993138134,TRPO_gamma_0.99,0.99
3200000,2508.8880999075313,25231.06839648574,TRPO_gamma_0.99,0.99
3304000,2479.2393217617196,25587.798358171603,TRPO_gamma_0.99,0.99
3400000,2474.3094223774,25713.848903628328,TRPO_gamma_0.99,0.99
3504000,2555.668641960635,24544.941891222385,TRPO_gamma_0.99,0.99
3600000,2589.9294088381444,25413.71053377066,TRPO_gamma_0.99,0.99
3704000,2603.8781145879148,25944.278578177305,TRPO_gamma_0.99,0.99
3800000,2573.097827427323,26103.919687645837,TRPO_gamma_0.99,0.99
3904000,2501.524070133092,25801.75882440959,TRPO_gamma_0.99,0.99
4000000,2567.6227414659706,26146.347933445057,TRPO_gamma_0.99,0.99
4104000,2588.8071074550853,26431.668072510987,TRPO_gamma_0.99,0.99
