Steps,Return_1k,Return_10k,Label,Gamma
5920000,5148.043608125759,6279.994416776265,ATRPO,0.99
6000000,6307.823637476063,9351.968826340722,ATRPO,0.99
6120000,6441.667152491611,29327.499305217672,ATRPO,0.99
6200000,6926.349123752087,40986.548590002196,ATRPO,0.99
6320000,6907.032000835694,47818.29855299562,ATRPO,0.99
6400000,6997.479714317936,62828.82792204209,ATRPO,0.99
6520000,6984.469534374912,70110.23540790628,ATRPO,0.99
6600000,6974.94065314882,70956.34100312067,ATRPO,0.99
6720000,7019.050104229473,71454.46907320872,ATRPO,0.99
6800000,7042.6741591998525,71707.61140270185,ATRPO,0.99
6920000,7079.849120287727,72116.29271634082,ATRPO,0.99
7000000,7065.860004785815,72028.01764887609,ATRPO,0.99
7120000,7110.740236367475,72593.94320204463,ATRPO,0.99
7200000,7097.3567008447235,72199.3988633096,ATRPO,0.99
7320000,7061.764657034099,71823.81771205986,ATRPO,0.99
7436562,7091.383286741632,72263.97620937302,ATRPO,0.99
7507562,7089.524713111363,72280.65032543502,ATRPO,0.99
7618814,7104.127522217268,72386.38358208809,ATRPO,0.99
7728588,7140.44490546834,72643.67410836321,ATRPO,0.99
7804612,7176.6105247746,73121.72646757984,ATRPO,0.99
7914510,7217.033933790508,73572.16075429603,ATRPO,0.99
8005309,7228.228668660884,73841.6258574346,ATRPO,0.99
8109774,7345.263740978963,75231.45562592124,ATRPO,0.99
8205005,7395.341171034706,75925.66250406216,ATRPO,0.99
8307441,7496.435767085803,76844.91406298011,ATRPO,0.99
8412563,7506.202759898095,76868.26127917529,ATRPO,0.99
8507985,7578.288435934143,77565.01236182018,ATRPO,0.99
8608340,7793.722660754522,80010.99384577862,ATRPO,0.99
8707397,7865.098089860682,80979.68027148159,ATRPO,0.99
8803210,8023.777836573764,82709.5613883404,ATRPO,0.99
8903179,7781.937869926068,78886.08923891862,ATRPO,0.99
9007790,7823.182244398927,80139.67235116489,ATRPO,0.99
9109706,7958.727619372359,81829.73860458792,ATRPO,0.99
9203392,8058.258979630501,83137.57187453895,ATRPO,0.99
9308507,8210.585349236544,84744.02157148212,ATRPO,0.99
9400961,8282.042050767548,85468.89933484193,ATRPO,0.99
9504026,8330.976827482502,85869.0723026904,ATRPO,0.99
9604073,8412.152687036078,86513.64363013326,ATRPO,0.99
9704078,8456.535510095806,87222.70145620516,ATRPO,0.99
9806957,8477.540359083101,87456.07584558702,ATRPO,0.99
9900089,8503.78457118036,87919.59468157153,ATRPO,0.99
10005752,8525.938401968753,88457.85928100339,ATRPO,0.99
